name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Wembley Library,,,,Brent,,,E09000005,Wembley Park,E05013516,51.55840914,-0.27988313,519339.84750000015,185793.34940000065
Kilburn,,,,Brent,,202046410,E09000005,Queens Park,E05013507,51.53460692,-0.203802273,524678.5648999996,183273.20069999993
Bradmore Green,,,,Croydon,,200001206439,E09000008,Old Coulsdon,E05011474,51.30703271,-0.12240494,530972.108,158108.65410000086
Biggin Hill Memorial Library and Pool,,,,Bromley,,10070007971,E09000006,Biggin Hill,E05013989,51.31170065,0.036318182,542020.3836000003,158922.54580000043
Coulsdon,,,,Croydon,,100023534265,E09000008,Coulsdon Town,E05011466,51.31947203,-0.13709679,529913.0367999999,159465.8281999994
Purley,,,,Croydon,,200001215992,E09000008,Purley & Woodcote,E05011476,51.33861472,-0.117094012,531252.2061000001,161629.96059999987
Sanderstead,,,,Croydon,,200001205396,E09000008,Sanderstead,E05011478,51.34028969,-0.083955297,533555.4594999999,161875.96890000068
New Addington,,,,Croydon,,100023534498,E09000008,New Addington South,E05011471,51.34039632,-0.014765878,538374.0064000003,162015.88519999944
Selsdon,,,,Croydon,,10014054952,E09000008,Selsdon Vale & Forestdale,E05011481,51.34193161,-0.060767012,535165.6721999999,162100.98929999955
Library @ the Phoenix Centre,,,,Sutton,,5870113095,E09000029,South Beddington & Roundshaw,E05013763,51.35268985,-0.131684671,530196.1142999995,163169.1442000009
Wallington Library,,,,Sutton,,5870076858,E09000029,Wallington South,E05013771,51.35732129,-0.149222392,528961.9692000002,163653.23479999974
Cheam Library,,,,Sutton,,5870018019,E09000029,Cheam,E05013758,51.35957626,-0.215126355,524367.4117999999,163790.2776999995
Sutton Central Library,,,,Sutton,,5870113864,E09000029,Sutton Central,E05013765,51.36154844,-0.193586833,525861.5924000004,164046.31560000032
Hook and Chessington Library,,,,Kingston upon Thames,,10091803267,E09000021,Hook & Chessington North,E05013935,51.36739709,-0.30447708,518126.7494999999,164512.4416000005
Library @ Westcroft Centre,,,,Sutton,,5870122731,E09000029,Wallington North,E05013770,51.36742881,-0.156544791,528423.9084000001,164764.35089999996
Croydon central library,,,,Croydon,,100022917682,E09000008,Fairfield,E05011468,51.37138431,-0.097931813,532492.4013999999,165308.33520000055
Worcester Park Library,,,,Sutton,,5870109125,E09000029,Worcester Park North,E05013772,51.37753233,-0.239807077,522601.2576000001,165745.53030000068
Shirley,,,,Croydon,,100022908481,E09000008,Shirley South,E05011483,51.37465273,-0.043548174,536267.8069000002,165771.43920000084
West Wickham Library,,,,Bromley,,100022897598,E09000006,West Wickham,E05014008,51.37533193,-0.012306129,538440.0224000001,165905.34809999913
Library @ The Life Centre,,,,Sutton,,5870120544,E09000029,Sutton North,E05013766,51.37837931,-0.200253584,525351.5526999999,165906.52419999987
Tolworth Community Library,,,,Kingston upon Thames,,128002519,E09000021,Alexandra,E05013928,51.3805588,-0.28069395,519747.9628999997,166014.5730000008
Hayes Library,,,,Bromley,,100022891892,E09000006,Hayes & Coney Hall,E05013998,51.37686239,0.019678625,540661.3202,166136.31770000048
Orpington Library,,,,Bromley,,10070009943,E09000006,Orpington,E05014001,51.375607,0.102773528,546448.1007000003,166159.25809999928
Old Malden Library,,,,Kingston upon Thames,,128004320,E09000021,Old Malden,E05013942,51.38323859,-0.253314099,521646.1723999996,166357.59219999984
Ashburton,,,,Croydon,,10014052814,E09000008,Addiscombe East,E05011462,51.38255158,-0.061536706,534992.6738999998,166616.52419999987
The Circle Library,,,,Sutton,,5870120398,E09000029,St Helier East,E05013761,51.38506086,-0.172897523,527236.7643999998,166696.59899999946
Broad Green,,,,Croydon,,10000104509,E09000008,Broad Green,E05011465,51.38485402,-0.115555759,531227.2637999998,166774.52300000004
Surbiton Library,,,,Kingston upon Thames,,128006816,E09000021,Surbiton Hill,E05013944,51.39228094,-0.296326317,518629.8755000001,167292.69449999928
Southborough Library,,,,Bromley,,100022892170,E09000006,Bromley Common & Holwood,E05013990,51.38938336,0.044998489,542384.6043999996,167577.48409999907
Petts Wood Library,,,,Bromley,,100022897997,E09000006,Petts Wood & Knoll,E05014003,51.38948409,0.072531624,544299.8674999997,167642.4634000007
West Barnes Library,,,,Merton,,48085264,E09000024,West Barnes,E05013827,51.39463987,-0.237525903,522714.3057000004,167651.71600000001
New Malden Library,,,,Kingston upon Thames,,128010803,E09000021,New Malden Village,E05013940,51.3987777,-0.259235194,521193.15770000033,168075.76129999943
Thornton Heath,,,,Croydon,,200001206453,E09000008,Bensham Manor,E05011464,51.3963774,-0.103997406,531998.3370000003,168076.6336000003
South Norwood,,,,Croydon,,200001210571,E09000008,South Norwood,E05011485,51.39677584,-0.077124186,533866.5768999998,168169.66169999912
Pollards Hill Library,,,,Merton,,48065103,E09000024,Pollards Hill,E05013821,51.3995746,-0.13027904,530161.0005000001,168385.23420000076
Morden Library,,,,Merton,,48083350,E09000024,St Helier,E05013824,51.40100796,-0.194447903,525693.6151999999,168432.7951999996
Shortlands Library,,,,Bromley,,100022891493,E09000006,Shortlands & Park Langley,E05014005,51.39924941,-0.005589835,538835.1715000002,168577.7251999993
Norbury,,,,Croydon,,100023319420,E09000008,Norbury & Pollards Hill,E05011472,51.40507418,-0.119052849,530926.1782999998,169016.75760000013
