name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Exhibition ,Ariel Way,London,Ariel Way,Hammersmith and Fulham,https://exhibitionlondon.co.uk/,,E09000013,Shepherd's Bush Green,E05013748,51.50976106,-0.222872173,523423.1367,180477.9839
Koko,1a Camden High Street; Camden Town; London NW1 7JE,London,1A Camden High St,Camden,https://www.koko.co.uk/,,E09000007,Regent's Park,E05013668,51.534617,-0.138338,529218.6937,183387.803
Lafayette London,"11 Goods Way, Kings Cross, London N1C 4DP",Kings Cross,11 Goods Way,Camden,What’s On - Lafayette London,,E09000007,King's Cross,E05013666,51.534613,-0.125076,530138.4644,183410.8402
OVO Arena Wembley (SSE),Arena Square; Empire Way; Wembley; London HA9 0DH;,Engineers Way ,Arena Square,Brent,OVO Arena Wembley,0,E09000005,Wembley Park,E05013516,51.558178,-0.282724,519143.5295,185763.0185
The O2 Arena,"Peninsula Square, SE10 0DX",London,Peninsula Square,Greenwich,The O2 arena | The O2,10010224811,E09000011,Greenwich Peninsula,E05014082,51.50149354,0.006379516,539356.2352,179969.8971
Wembley Stadium,"South Way, London",,,Brent,Home | Wembley Stadium,0,E09000005,Wembley Park,E05013516,51.55552194,-0.27792676,519483.0114,185475.4758
London Stadium,"Queen Elizabeth Olympic Park, London, E20 2ST",,Queen Elizabeth Ol,Tower Hamlets,www.london-stadium.com,10014035637,E09000030,Bow East,E05009319,51.543296,-0.016552,537638.6515,184574.9143
Eventim Apollo,"45 Queen Caroline Street, London, W6 9QH",London,45 Queen Caroline ,Hammersmith and Fulham,Eventim Apollo,34030384,E09000013,Hammersmith Broadway,E05013741,51.49084,-0.224504,523360.9683,178371.1737
Deptford Albany,Albany Centre & Theatre Douglas Way,Lewisham,Albany Centre & Th,Lewisham,www.thealbany.org.uk,1.00E+11,E09000023,Deptford,E05013719,51.47694769,-0.024756317,537269.0152,177181.6232
Rich Mix,35-47 Bethnal Green Road; Bethnal Green; London E1,Tower Hamlets,35-47 Bethnal Gree,Tower Hamlets,www.richmix.org.uk,6150258,E09000030,Weavers,E05009335,51.524231,-0.073812,533724.1513,182348.75
Iklectik,"20 Carlisle Lane, SE1 7LG London, United Kingdom",Carlisle Lane,The Grey Studio 20,Lambeth,www.iklectikartlab.com,10091119428,E09000022,Waterloo & South Bank,E05014118,51.498452,-0.116546,530833.5846,179404.904
Ripley Arts Center (Bromley Arts Trust),24 Sundridge Avenue Bromley,,24 Sundridge Avenu,Bromley,http://www.bromleyarts.com/ripley-arts-centre/,0,E09000006,Plaistow,E05014004,51.41248263,0.023909639,540846.477,170105.4684
Harrow Arts Centre,Uxbridge Road Harrow,,Uxbridge Road Harr,Harrow,www.harrowarts.com,2.00E+11,E09000015,Hatch End,E05013549,51.60799057,-0.362241914,513507.3572,191176.0479
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; London N22,Alexandra Palace Way ,Alexandra Palace,Haringey,www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.593642,-0.131921,529496.0779,189962.9112
Kings Place,"90 York Way, London, N1 9AG",London,90 York Way,Islington,www.kingsplace.co.uk,10091005851,E09000019,Caledonian,E05013700,51.534966,-0.122145,530340.7297,183455.3063
St John's Smith Square,"London, SW1P 3HA",London,Smith Square  ,Westminster,www.sjss.org.uk,0,E09000033,St James's,E05013806,51.496091,-0.126963,530117.2868,179123.808
Purcell Room,"Southbank Centre, Belvedere Rd, London SE1 8XX",London, Belvedere Road,Lambeth,https://www.southbankcentre.co.uk/venues/purcell-room?,0,E09000022,Waterloo & South Bank,E05014118,51.506081,-0.116304,530828.5371,180253.6863
Fairfield Halls,"Park Lane, Croydon, CR9 1DG",Croydon,Park Lane,Croydon,Home | Fairfield Halls | Croydon,,E09000008,Fairfield,E05011468,51.372525,-0.095804,532637.206,165439.0227
